row_id,split,z_ph,z_Hardness,z_Solids,z_Chloramines,z_Sulfate,z_Conductivity,z_Organic_carbon,z_Trihalomethanes,z_Turbidity,label_true
0,train,-0.03567408905656294,0.2503623255334097,-0.11643673852295305,0.12655768017097033,0.9527631808180405,1.6801070190836382,-1.1882703836706052,1.3228291118966935,-1.2886327483469397,0
1,test,-2.2929843637885594,-2.0625349003634836,-0.3624168230786953,-0.2877570106502453,-0.02048549852678704,2.0323201359897936,0.28025431687742497,-0.6203243539213172,0.6774743064094922,0
2,train,0.6910543165703517,0.8432643750445707,-0.2167946455371364,1.3575226250249628,-0.02048549852678704,-0.1157022283522517,0.7968515953942115,0.01917929336934404,-1.1699667005079888,0
3,train,0.8392278734516182,0.5409914335503947,0.02322328689268088,0.599536422112019,0.6333719142926088,-0.797774118795817,1.2765122793699377,2.1689107818622366,0.841300603220204,0
4,validation,1.3671704014389607,-0.4787112808097701,-0.43651736838505606,-0.34298886220621266,-0.6504867601811946,-0.36461422504304697,-0.8277353676933409,-2.162271796885524,0.13326218232095985,0
5,train,-1.021218966458519,-0.25768662455164926,0.7892170125730843,0.27899397945034865,-0.19619344971715588,-1.8182820181208348,-1.7940226118329023,-0.7097580403726618,-1.8045158005310764,0
6,train,2.1376061025401953,1.5737640009703715,0.7893341036125007,0.25939226415588323,1.643348429251795,-1.779042116138819,-0.1450828052809114,1.1715301632823931,-1.65965818670583,0
7,train,1.0564639991016598,0.20350423399785744,-0.9266989032109213,-1.5788881785596334,-0.8379413360155094,0.5745256658191823,-0.5812989774236405,-0.2103460326366296,0.5505818063258572,0
8,test,-0.03567408905656294,-2.3823222006658074,-0.8568753937904217,0.44055678852978913,-1.7898514250814699,-0.4759753037653715,-0.4766005488834068,-0.7724355120542304,-0.4806129877047844,0
9,train,2.7887519942007835,0.935060303418264,0.41771026566038366,1.2337305366075793,1.9283554658589135,1.674891338123284,1.120881179494437,0.3713150330956917,0.5111159845656604,0
10,train,0.18828386498794733,-0.9562223765545661,1.21077282877861,0.2826277475016093,-0.1976766549840898,-0.03217191936759517,0.4047050010235419,0.7999367125619646,-0.39458549363020184,0
11,test,0.6062231377457236,0.6733861053611832,-0.3467562584827939,0.6313450338616738,-0.02048549852678704,-0.7875230878598319,0.08009560385169835,0.6570860815176207,0.05224392207471009,0
12,train,0.02433310140990184,-1.226405424346583,-0.3509494823143917,-2.1751409364157963,-1.4137016178790773,-0.989449065125983,0.5095543132456561,0.8481489537767047,-0.671480652442681,0
13,test,-0.03567408905656294,-1.426536256188683,0.6279066035802856,-0.16128949563040346,-0.9448780235007095,-0.5944662987096018,1.562335496474385,0.6586123925765438,0.5666294565818798,0
14,validation,0.28059689369482016,0.2642924683892228,0.7481665364784574,-1.261407771523429,-0.02048549852678704,0.20523492697335272,-0.316825948150766,0.2650763293962054,1.031338156231858,0
15,train,-0.5016316960424507,-0.3061233790008025,2.1910028724021715,1.5779073652639708,0.8421256010579031,1.0938551018940998,-0.8333945000298222,0.5674572393493731,0.5185152930661919,0
16,test,-0.021988532854363477,0.43911924938385744,1.0432382206907154,1.8677553983222777,-0.02048549852678704,-1.390926618760039,1.8762832789174322,-0.5998846366227379,0.38051316288726095,0
17,validation,1.4279919941083925,2.3626961627257503,0.25345705314474704,-0.1196900142205122,1.7720660783816307,0.6160245199429711,-0.2681743186967225,0.3384090193071381,0.6813163419599141,0
18,train,1.2876791425115577,2.5325867282177543,-0.26791312431940884,-0.55624979291794,-0.02048549852678704,0.04252572101831547,-0.4207044223887881,-0.14551943226892305,-1.9625984266910828,0
19,test,0.1953712742692948,0.5447677178790796,0.43430554749204103,-1.6600976350564587,0.053053593970069694,0.5166824309140372,-0.5368331892597705,-0.21041142211210678,-1.8037601607311031,0
20,test,-0.03567408905656294,0.9412995129926899,0.05590474923295494,2.01674302989991,-0.02048549852678704,1.563158685947019,0.6325855068407932,-1.3140279153956094,0.20787377254323877,0
21,validation,-0.2885775192845647,-0.8715446609629152,1.0391139483214131,-0.7715497627169319,-0.6286511656660205,1.1792441618640779,1.1075515239842162,0.6923475670441962,-0.2828105234838543,0
22,test,-0.03567408905656294,0.5901643888137377,-0.5357354200799351,-0.9283797432388181,-0.18889914038701566,0.10183701586351897,-0.022905297607540103,-0.3968438517965925,1.90327863357078,0
23,train,-2.1660835846482076,0.005573714428260566,-0.07362235443507657,-0.06279088130693661,-0.02048549852678704,0.20318315622742777,0.7174315373087468,1.5250354811079418,0.7131085323460097,0
24,train,-1.1463423071980074,-1.715722552814622,-0.5175970996016671,1.8441142465029845,-0.15006067281603358,0.5531590786373273,-0.9200944969128478,-0.582120858492805,1.091956157191101,0
25,train,-0.3878381418642114,0.06270400705172595,-0.06779480237413532,0.9806036516089185,-0.28083166545812305,-0.18121998001453019,0.19459033593555738,0.8701436656423108,1.5728928941687585,0
26,validation,-2.477497410810489,0.3434023893038078,1.3214168353370708,1.0498946679300087,1.378164811907487,0.1699913546465022,-0.14012466409064794,-2.2708557755168335,0.2730572639579226,0
27,train,-0.03567408905656294,-1.561592253411345,-0.9775911804972575,0.5042780134507293,-0.818931557662026,-1.5899857276516927,-0.4694186600048288,-1.0507720063365842,0.04348833655108507,0
28,train,-0.03567408905656294,2.1361250915415373,0.517690229704776,0.3756898065140877,1.6907504166574192,-0.7828163938184806,-1.1977028531810041,-0.8307686214631016,0.026472144610608952,0
29,train,-0.03567408905656294,-1.4885014311602298,-0.7535523826913246,1.2148098356065515,-0.7362764843641686,1.6738962250346727,0.7050789025871826,-0.8518210856960856,2.6435913149671206,0
30,train,0.06628772990809365,0.3954830550592849,-0.7532318254845429,-0.6868697796525857,0.12396023013305285,-1.058516198332961,-1.9399919604930695,0.3435163612476615,1.4296406517530473,0
31,train,1.8663886157362997,-0.18280556382667454,-0.2431593934312158,-0.21155980272983713,-0.02048549852678704,0.3061890537998644,0.8061520722757622,-1.2063463458743557,-1.423749404037676,0
32,train,2.280188217483045,-2.419018063820461,0.05833177514934235,0.6631961296811544,-0.717170742854553,-0.18496210646825262,-0.4201080127240204,-0.024333889447256056,1.3892967190526178,0
