row_id,day_index,location_id,split,conductance_max,ph_max,ph_min,conductance_min,conductance_mean,dissolved_oxygen_max,dissolved_oxygen_mean,dissolved_oxygen_min,temperature_mean,temperature_min,temperature_max,label_true
0,0,2198840,train,0.0011306042884990253,0.8846153846153847,0.0011198428290766207,0.00111328125,0.6776315789473685,0.8414634146341464,0.7651515151515151,0.7874015748031497,0.29375,0.29807692307692313,0.2761627906976744,0.6481481481481481
1,0,2198920,train,0.0011695906432748538,0.8717948717948718,0.0011591355599214145,0.00115234375,0.7039473684210527,0.8292682926829269,0.7727272727272727,0.7952755905511811,0.29375,0.3012820512820513,0.2761627906976744,0.6481481481481481
2,0,2198950,train,0.0013255360623781677,0.8846153846153847,0.0011984282907662083,0.00125,0.6776315789473685,0.853658536585366,0.7500000000000001,0.7559055118110236,0.3,0.29807692307692313,0.2877906976744186,0.6481481481481481
3,0,2203603,train,0.014093567251461988,0.858974358974359,0.001237721021611002,0.00392578125,0.6973684210526316,0.8292682926829269,0.7727272727272727,0.7716535433070867,0.296875,0.2948717948717949,0.27906976744186046,0.6388888888888888
4,0,2203655,train,0.08810916179337232,0.858974358974359,0.010766208251473477,0.029296875,0.6842105263157895,0.853658536585366,0.7651515151515151,0.7559055118110236,0.296875,0.2916666666666667,0.2819767441860465,0.6481481481481481
5,0,2203700,train,0.0013255360623781677,0.8333333333333334,0.0012573673870333987,0.00126953125,0.6842105263157895,0.8048780487804879,0.7575757575757576,0.7716535433070867,0.303125,0.29807692307692313,0.2994186046511628,0.6203703703703703
6,0,2203831,train,0.002962962962962963,0.8333333333333334,0.0012966601178781925,0.00150390625,0.6842105263157895,0.8048780487804879,0.7575757575757576,0.7637795275590551,0.309375,0.3076923076923077,0.2965116279069767,0.6203703703703703
7,0,2203863,train,0.07076023391812865,0.858974358974359,0.0015520628683693516,0.02265625,0.6842105263157895,0.8292682926829269,0.7651515151515151,0.7716535433070867,0.30625,0.2948717948717949,0.2936046511627907,0.6574074074074073
8,0,2203873,train,0.5185185185185185,0.9487179487179488,0.45579567779960706,0.4765625,0.5855263157894738,0.926829268292683,0.6363636363636365,0.6220472440944883,0.378125,0.3685897435897436,0.3691860465116279,0.7222222222222222
9,0,2203900,train,0.004230019493177388,0.8846153846153847,0.003831041257367387,0.004140625,0.6973684210526316,0.8414634146341464,0.787878787878788,0.8110236220472442,0.315625,0.3044871794871795,0.3168604651162791,0.6481481481481481
