row_id,day_index,location_id,split,conductance_max,ph_max,ph_min,conductance_min,conductance_mean,dissolved_oxygen_max,dissolved_oxygen_mean,dissolved_oxygen_min,temperature_mean,temperature_min,temperature_max,label_true,label_partial,label_observed
0,0,2198840,train,0.0011306042884990253,0.8846153846153847,0.0011198428290766207,0.00111328125,0.6776315789473685,0.8414634146341464,0.7651515151515151,0.7874015748031497,0.29375,0.29807692307692313,0.2761627906976744,0.6481481481481481,,0
1,0,2198920,train,0.0011695906432748538,0.8717948717948718,0.0011591355599214145,0.00115234375,0.7039473684210527,0.8292682926829269,0.7727272727272727,0.7952755905511811,0.29375,0.3012820512820513,0.2761627906976744,0.6481481481481481,,0
2,0,2198950,train,0.0013255360623781677,0.8846153846153847,0.0011984282907662083,0.00125,0.6776315789473685,0.853658536585366,0.7500000000000001,0.7559055118110236,0.3,0.29807692307692313,0.2877906976744186,0.6481481481481481,0.6481481481481481,1
3,0,2203603,train,0.014093567251461988,0.858974358974359,0.001237721021611002,0.00392578125,0.6973684210526316,0.8292682926829269,0.7727272727272727,0.7716535433070867,0.296875,0.2948717948717949,0.27906976744186046,0.6388888888888888,0.6388888888888888,1
4,0,2203655,train,0.08810916179337232,0.858974358974359,0.010766208251473477,0.029296875,0.6842105263157895,0.853658536585366,0.7651515151515151,0.7559055118110236,0.296875,0.2916666666666667,0.2819767441860465,0.6481481481481481,,0
5,0,2203700,train,0.0013255360623781677,0.8333333333333334,0.0012573673870333987,0.00126953125,0.6842105263157895,0.8048780487804879,0.7575757575757576,0.7716535433070867,0.303125,0.29807692307692313,0.2994186046511628,0.6203703703703703,0.6203703703703703,1
6,0,2203831,train,0.002962962962962963,0.8333333333333334,0.0012966601178781925,0.00150390625,0.6842105263157895,0.8048780487804879,0.7575757575757576,0.7637795275590551,0.309375,0.3076923076923077,0.2965116279069767,0.6203703703703703,,0
7,0,2203863,train,0.07076023391812865,0.858974358974359,0.0015520628683693516,0.02265625,0.6842105263157895,0.8292682926829269,0.7651515151515151,0.7716535433070867,0.30625,0.2948717948717949,0.2936046511627907,0.6574074074074073,0.6574074074074073,1
8,0,2203873,train,0.5185185185185185,0.9487179487179488,0.45579567779960706,0.4765625,0.5855263157894738,0.926829268292683,0.6363636363636365,0.6220472440944883,0.378125,0.3685897435897436,0.3691860465116279,0.7222222222222222,,0
9,0,2203900,train,0.004230019493177388,0.8846153846153847,0.003831041257367387,0.004140625,0.6973684210526316,0.8414634146341464,0.787878787878788,0.8110236220472442,0.315625,0.3044871794871795,0.3168604651162791,0.6481481481481481,0.6481481481481481,1
10,0,2203950,train,0.005730994152046784,0.8846153846153847,0.004047151277013753,0.00443359375,0.6842105263157895,0.8414634146341464,0.7727272727272727,0.7952755905511811,0.290625,0.27884615384615385,0.29069767441860467,0.6481481481481481,0.6481481481481481,1
11,0,2203960,train,0.0044444444444444444,0.8974358974358975,0.004027504911591356,0.0042578125,0.625,0.853658536585366,0.6969696969696969,0.7007874015748032,0.334375,0.31730769230769235,0.34302325581395354,0.6481481481481481,,0
12,0,2204037,train,0.0018713450292397662,0.858974358974359,0.0017288801571709233,0.0017578125,0.7171052631578948,0.8170731707317074,0.8030303030303031,0.8110236220472442,0.31875,0.3012820512820513,0.3226744186046512,0.6296296296296295,,0
13,0,2207135,train,0.0021832358674463937,0.8717948717948718,0.0021218074656188606,0.0021484375,0.6973684210526316,0.8414634146341464,0.7954545454545455,0.8110236220472442,0.303125,0.2852564102564103,0.311046511627907,0.6388888888888888,,0
14,0,2207160,train,0.0022612085769980507,0.858974358974359,0.0020235756385068764,0.00208984375,0.631578947368421,0.8292682926829269,0.7121212121212122,0.7244094488188976,0.321875,0.3076923076923077,0.3255813953488372,0.6296296296296295,,0
15,0,2208450,train,0.0038791423001949318,0.8717948717948718,0.003143418467583497,0.003515625,0.5986842105263158,0.8292682926829269,0.6818181818181819,0.7007874015748032,0.30625,0.3012820512820513,0.3023255813953489,0.6388888888888888,,0
16,0,2208493,train,0.0030604288499025342,0.8974358974358975,0.0024361493123772103,0.00255859375,0.6907894736842105,0.853658536585366,0.7803030303030304,0.8031496062992126,0.309375,0.29807692307692313,0.3081395348837209,0.6481481481481481,,0
17,0,2336120,train,0.002300194931773879,0.8974358974358975,0.0022789783889980353,0.00228515625,0.8223684210526316,0.853658536585366,0.9166666666666667,0.8976377952755906,0.1125,0.06730769230769232,0.14534883720930233,0.6574074074074073,,0
18,0,2336152,train,0.0014814814814814814,0.858974358974359,0.0014145383104125736,0.0014453125,0.6973684210526316,0.8170731707317074,0.7954545454545455,0.8188976377952757,0.30625,0.3044871794871795,0.2994186046511628,0.6296296296296295,0.6296296296296295,1
19,0,2336240,train,0.0020662768031189083,0.8846153846153847,0.002043222003929273,0.00205078125,0.6907894736842105,0.8414634146341464,0.7803030303030304,0.7952755905511811,0.3,0.2884615384615385,0.30523255813953487,0.6388888888888888,,0
20,0,2336300,train,0.002378167641325536,0.8846153846153847,0.0023772102161100195,0.00236328125,0.7894736842105263,0.853658536585366,0.8787878787878788,0.8661417322834646,0.128125,0.08974358974358974,0.15697674418604654,0.6481481481481481,0.6481481481481481,1
